customer_id,customer_name,gender,age,city,state,join_date
C00082,Dev Sane,Female,65,Srinagar,Meghalaya,2022-03-13
C00083,Azaan Ramesh,Female,45,Dehri,Manipur,2021-11-14
C00084,Frado Chakraborty,Male,19,Jamalpur,Meghalaya,2026-01-29
C00085,Dominic Dyal,Female,59,Raichur,Gujarat,2026-05-02
C00086,Yatan D’Alia,Male,70,Pudukkottai,Madhya Pradesh,2026-03-18
C00087,Harrison Nagi,Female,46,Burhanpur,Uttar Pradesh,2024-07-14
C00088,Riya Varma,Female,57,Aligarh,Haryana,2025-11-02
C00089,Watika Comar,Female,29,Bhusawal,Telangana,2025-08-28
C00090,Zansi Rout,Male,54,Hazaribagh,Nagaland,2023-06-04
C00091,Pratyush Keer,Female,31,Davanagere,Tamil Nadu,2024-08-02
C00092,Jacob Garg,Male,23,Gopalpur,Karnataka,2023-04-16
C00093,Abeer Comar,Male,44,Machilipatnam,Nagaland,2024-05-22
C00094,Hamsini Karpe,Male,49,Jamnagar,Andhra Pradesh,2025-01-20
C00095,Rachita Srinivas,Female,58,Pudukkottai,Nagaland,2026-05-11
C00096,Joshua Edwin,Female,53,Ulhasnagar,Meghalaya,2024-05-27
C00097,Bhavna Shah,Female,68,Bhilwara,Karnataka,2026-07-16
C00098,Megha Modi,Male,63,Proddatur,Maharashtra,2025-08-10
C00099,Agastya Ravel,Male,19,Kadapa,Sikkim,2022-07-21
C00100,Nandini Sharma,Male,33,Sultan Pur Majra,Punjab,2023-04-01
C00101,Dominic Khare,Male,27,Serampore,Odisha,2022-05-11
C00102,Praneel Walla,Female,34,Muzaffarnagar,Tamil Nadu,2022-10-26
C00103,Gautam Lad,Male,32,Dindigul,Tripura,2026-05-01
C00104,Ikbal Sha,Male,59,Amroha,Karnataka,2024-05-24
C00105,Ekta Setty,Female,52,Salem,Arunachal Pradesh,2023-11-07
C00106,Saanvi Krishnamurthy,Female,25,Ahmednagar,Telangana,2022-11-19
C00107,Divya Sachdev,Female,45,Narasaraopet,Punjab,2025-12-12
C00108,Mitesh Nagarajan,Male,21,Parbhani,Assam,2024-06-03
C00109,Jeet Taneja,Female,34,Mahbubnagar,Goa,2023-07-04
C00110,Vihaan Nath,Female,54,Visakhapatnam,Sikkim,2024-10-04
C00111,Amol Chanda,Female,65,Kolkata,Uttar Pradesh,2023-01-03
C00112,Rajeshri Saini,Male,27,Kamarhati,Manipur,2023-03-05
C00113,Faris Oommen,Male,26,Kirari Suleman Nagar,Mizoram,2023-08-20
C00114,Tanish Kamdar,Male,34,Panihati,Kerala,2023-01-08
C00115,Hemangini Kara,Female,18,Shimla,Chhattisgarh,2024-02-09
C00116,Anita Chauhan,Female,70,Morena,Madhya Pradesh,2023-11-30
C00117,Qasim Misra,Female,34,Aurangabad,Tripura,2022-10-08
C00118,Victor Sandhu,Male,64,Indore,Punjab,2024-08-25
C00119,Zansi Comar,Male,24,Varanasi,Telangana,2023-05-13
C00120,Qasim Buch,Male,35,Bidhannagar,Tripura,2025-08-09
C00121,Reyansh Soman,Male,42,Jalgaon,Punjab,2022-07-29
C00122,Rayaan Chatterjee,Male,18,Bhimavaram,Karnataka,2022-11-06
C00123,Ansh Lala,Female,54,Bardhaman,Sikkim,2024-06-09
C00124,Vinaya Morar,Female,40,Erode,Punjab,2022-08-01
C00125,Advay Patla,Female,23,Nandyal,Uttar Pradesh,2021-11-18
C00126,Gautami Vora,Female,22,Rajahmundry,Nagaland,2025-01-16
C00127,Chanchal Kaul,Female,38,Ramagundam,Odisha,2025-01-12
C00128,Balveer Shroff,Female,63,Saharsa,Uttar Pradesh,2024-03-13
C00129,Sathvik Uppal,Male,44,Surendranagar Dudhrej,Punjab,2024-05-13
C00130,Hamsini Behl,Female,43,Hindupur,Odisha,2022-06-17
C00131,Ijaya Bandi,Female,62,Ambarnath,Kerala,2022-09-12
C00132,Arya Nagar,Male,61,Khora ,Assam,2023-04-21
C00133,Brinda Deo,Female,37,Tenali,Manipur,2024-01-22
C00134,Ekantika Subramaniam,Male,60,Thane,Nagaland,2024-02-13
C00135,Dakshesh Raja,Male,34,Chandrapur,Tripura,2022-01-31
C00136,Vansha Bala,Female,35,Lucknow,Telangana,2022-12-14
C00137,Falak Murthy,Female,28,Secunderabad,Bihar,2022-03-12
C00138,Harsh Mander,Female,41,Satara,Tripura,2025-09-10
C00139,Imaran Acharya,Female,70,Kozhikode,Arunachal Pradesh,2024-10-06
C00140,Patrick Chada,Female,45,Ahmedabad,Tamil Nadu,2024-02-05
C00141,Eta Halder,Female,42,Giridih,Haryana,2025-04-08
C00142,Ekani Sant,Male,51,Tadepalligudem,Nagaland,2025-12-17
C00143,Omisha Saini,Male,29,Korba,Haryana,2025-06-26
C00144,Daksh Naik,Female,61,Raurkela Industrial Township,Assam,2024-03-29
C00145,Geetika Deo,Male,63,Latur,West Bengal,2026-06-20
C00146,Kiaan Talwar,Male,36,Madanapalle,Bihar,2022-06-01
C00147,Fitan Oza,Male,33,Bangalore,Manipur,2023-11-02
C00148,Kiaan Parmar,Male,67,Kolhapur,Punjab,2021-09-24
C00149,Mason Badami,Male,19,Jodhpur,Meghalaya,2023-05-17
C00150,Sai Shere,Female,45,Bhalswa Jahangir Pur,Bihar,2025-02-08
C00151,Abhiram Doshi,Male,40,Karimnagar,West Bengal,2024-08-30
C00152,Owen Soman,Female,55,Yamunanagar,Madhya Pradesh,2023-12-14
C00153,Jason Bawa,Female,27,Karaikudi,Uttarakhand,2024-12-07
C00154,Upma Bumb,Female,45,Maheshtala,Telangana,2022-07-04
C00155,Bimala Soni,Male,21,Panihati,Himachal Pradesh,2023-06-27
C00156,Shaurya Karan,Male,46,Karimnagar,Haryana,2024-08-27
C00157,Meera Sengupta,Male,54,Nangloi Jat,West Bengal,2023-04-14
C00158,Anvi Bhardwaj,Female,25,Panchkula,Manipur,2025-12-09
C00159,Jeremiah Parmar,Female,59,Gulbarga,West Bengal,2024-05-23
C00160,Jason Magar,Female,53,Satna,Assam,2023-07-26
C00161,Gopal Dey,Female,33,Bhatpara,Maharashtra,2024-01-26
C00162,Teerth Dani,Female,46,Buxar,Gujarat,2022-03-21
C00163,Charita Prakash,Male,54,Kochi,Tripura,2023-06-08
C00164,Daniel Doctor,Female,56,Adoni,Telangana,2023-04-04
C00165,Janani Mane,Male,68,Bidar,Rajasthan,2023-06-12
C00166,Vritti Narayanan,Female,20,Mathura,Sikkim,2026-01-13
C00167,Ayushman Bora,Female,29,Bhatpara,Karnataka,2022-06-15
C00168,Samaksh Raju,Male,62,Bangalore,Telangana,2021-10-06
C00169,Hemang Thaker,Female,26,Motihari,Himachal Pradesh,2024-06-12
C00170,Bimala Pant,Female,69,Alwar,Arunachal Pradesh,2022-04-07
C00171,Ekiya Krish,Female,54,Arrah,Mizoram,2025-12-24
C00172,Charan Divan,Male,49,Coimbatore,Tripura,2023-07-24
C00173,Aadhya Rout,Male,38,Ramgarh,Nagaland,2022-06-16
C00174,Ishaan Nadkarni,Male,34,Dhule,Rajasthan,2024-06-14
C00175,Zansi Chand,Male,58,Vijayanagaram,Karnataka,2023-12-10
C00176,Janya Aggarwal,Female,57,Kishanganj,Sikkim,2023-04-05
C00177,Jagvi Sehgal,Male,34,Darbhanga,Jharkhand,2024-04-07
C00178,Aadhya Palan,Male,20,Mahbubnagar,West Bengal,2022-02-05
C00179,Madhavi Chana,Male,36,Thrissur,Tripura,2025-12-07
C00180,Kiaan Raju,Female,42,Rajahmundry,Maharashtra,2025-09-12
C00181,Yash Karan,Female,19,Navi Mumbai,Nagaland,2024-09-03
C00182,Upasna Mutti,Male,46,Katihar,Mizoram,2024-09-30
C00183,Advaith Bail,Female,24,Bhimavaram,Goa,2025-03-22
C00184,Geetika Hegde,Male,44,Alwar,Meghalaya,2025-06-07
C00185,Vanya Jani,Male,25,Kottayam,Mizoram,2022-06-01
C00186,Aditya Bava,Female,42,Alwar,Sikkim,2026-03-05
C00187,Janani Purohit,Male,58,Jamshedpur,Telangana,2025-05-30
C00188,Amrita Atwal,Female,49,Motihari,Arunachal Pradesh,2025-06-09
C00189,Charita Rana,Female,34,Katni,Goa,2025-03-13
C00190,Edhitha Varughese,Male,48,Suryapet,Nagaland,2025-12-22
C00191,Jyoti Suresh,Female,47,Tenali,Nagaland,2021-12-02
C00192,Sachi Korpal,Male,59,Pallavaram,West Bengal,2023-03-16
C00193,Shivani Bala,Female,36,Meerut,Uttarakhand,2025-06-20
C00194,Hritik Goel,Male,32,New Delhi,Nagaland,2026-05-24
C00195,Vrishti Pant,Female,20,Meerut,Mizoram,2025-08-10
C00196,Yutika Vyas,Female,40,Rajkot,Bihar,2026-04-23
C00197,Faras Ramachandran,Female,39,Hajipur,Meghalaya,2023-01-09
C00198,Neelima Wable,Female,29,Tezpur,Manipur,2023-08-01
C00199,Naveen D’Alia,Male,50,Mira-Bhayandar,Nagaland,2026-07-22
C00200,Michael Anne,Female,38,Jalgaon,Mizoram,2026-07-06
C00201,Ubika Chad,Female,53,Saharanpur,Karnataka,2026-07-23
C00202,Leena Iyengar,Female,66,Ludhiana,Uttar Pradesh,2025-04-13
C00203,Balhaar Badal,Male,28,Tumkur,Tripura,2022-07-20
C00204,Anirudh Subramanian,Male,59,Kota,Mizoram,2025-03-04
C00205,Ojas Sekhon,Male,35,Dharmavaram,Chhattisgarh,2023-07-26
C00206,Irya Johal,Male,24,Danapur,Mizoram,2024-05-07
C00207,Gabriel Tak,Female,46,Fatehpur,Sikkim,2026-03-31
C00208,Vidhi Atwal,Female,49,Gaya,Jharkhand,2024-09-22
C00209,Lohit Gola,Male,31,Bathinda,Punjab,2025-12-22
C00210,Kritika Lad,Female,50,Amritsar,Mizoram,2023-11-04
C00211,Anmol Nayar,Male,52,Ambattur,Karnataka,2025-05-24
C00212,Utkarsh Dada,Male,45,Jalgaon,Punjab,2025-01-30
C00213,Chaaya Shankar,Female,55,Firozabad,Bihar,2023-05-12
C00214,Ikshita Ratta,Male,60,Mirzapur,Punjab,2025-09-24
C00215,Harini Rana,Male,48,Amroha,Punjab,2023-05-07
C00216,Zansi Seth,Male,21,Srikakulam,Goa,2023-07-22
C00217,Ekavir Cherian,Female,22,Bikaner,Odisha,2021-12-20
C00218,Rajata Goel,Male,58,Dewas,Arunachal Pradesh,2022-07-01
C00219,Teerth Nayar,Male,64,Bokaro,Kerala,2022-10-17
C00220,Yagnesh Chakraborty,Female,57,Mysore,Bihar,2024-08-13
C00221,Yashawini Rajagopal,Female,45,Karawal Nagar,Sikkim,2023-06-14
C00222,Kabir Thakkar,Male,37,Serampore,Maharashtra,2022-02-01
C00223,Warjas Mistry,Male,22,Gandhidham,Goa,2025-12-01
C00224,Pavani Nigam,Male,36,Morbi,Punjab,2023-03-27
C00225,Ekaja Wason,Male,20,Jalandhar,Bihar,2023-04-27
C00226,Caleb Kar,Male,64,Deoghar,Arunachal Pradesh,2025-10-30
C00227,Owen Andra,Female,21,Narasaraopet,Jharkhand,2022-07-12
C00228,Rachana Hora,Female,45,Shivpuri,Meghalaya,2021-11-06
C00229,Vasatika Bedi,Male,34,Kottayam,Jharkhand,2025-03-07
C00230,Ikshita Patla,Male,40,Dharmavaram,Bihar,2024-05-15
C00231,Leena Grewal,Male,28,Mango,Haryana,2021-10-25
C00232,Netra Soni,Male,45,Nangloi Jat,Gujarat,2024-11-03
C00233,Vihaan Chaudhry,Female,46,Vadodara,Mizoram,2025-07-29
C00234,Aayush Char,Female,43,Junagadh,Himachal Pradesh,2023-08-20
C00235,Jyoti Oak,Female,62,Haldia,Nagaland,2021-10-30
C00236,Waida Bal,Female,67,Kollam,Himachal Pradesh,2025-08-21
C00237,Kevin Dyal,Female,46,Gopalpur,Tripura,2023-03-23
C00238,Hredhaan Vig,Female,27,Orai,Chhattisgarh,2025-11-05
C00239,Balveer Chad,Female,40,Alwar,Odisha,2023-08-28
C00240,Benjamin Gera,Male,64,Jehanabad,Madhya Pradesh,2026-05-26
C00241,Ira Mahajan,Female,63,Ambala,Uttarakhand,2025-09-22
C00242,Indrajit Mittal,Male,35,Machilipatnam,Assam,2024-12-15
C00243,Baljiwan Banerjee,Male,66,Faridabad,Jharkhand,2025-12-17
C00244,Madhavi Solanki,Male,59,Kanpur,Odisha,2021-11-17
C00245,Jack Badal,Male,20,Chandigarh,Arunachal Pradesh,2022-12-29
C00246,Christopher Shukla,Female,70,Jamshedpur,Maharashtra,2023-04-09
C00247,Rajeshri Chauhan,Male,42,Darbhanga,Chhattisgarh,2022-10-02
C00248,Gabriel Sandhu,Female,22,Saharanpur,Haryana,2024-03-17
C00249,Ayush Chanda,Male,41,Thrissur,Uttarakhand,2023-04-06
C00250,Adweta Sandal,Female,64,Kolkata,Telangana,2022-07-16
C00251,Zinal Mistry,Male,22,Singrauli,Karnataka,2022-08-13
C00252,Maanas Walla,Female,25,Tadipatri,Gujarat,2025-10-11
C00253,Harsh Nazareth,Female,24,Guntur,Tripura,2026-05-17
C00254,Tanish Nadig,Female,25,Ulhasnagar,Andhra Pradesh,2024-09-08
C00255,Yatan Keer,Male,39,Dindigul,Tamil Nadu,2025-02-02
C00256,Indira Bhalla,Female,42,Allahabad,Meghalaya,2022-01-23
C00257,Chakradev Trivedi,Male,25,Rourkela,Punjab,2024-01-13
C00258,Amaira Chander,Male,19,Pudukkottai,Meghalaya,2021-11-20
C00259,Chakradhar Varughese,Male,21,Nadiad,Tamil Nadu,2021-08-25
C00260,Dayita Rama,Male,53,Hazaribagh,Andhra Pradesh,2025-01-06
C00261,Laban Arya,Female,56,Ahmedabad,Chhattisgarh,2025-11-20
C00262,Anay Nair,Male,69,Munger,Goa,2025-02-17
C00263,Yochana Kanda,Female,58,Ambarnath,Assam,2021-11-24
C00264,Meera Lalla,Male,53,Davanagere,Assam,2021-12-02
C00265,Ekalinga Nazareth,Male,40,Gaya,Maharashtra,2026-04-23
C00266,Ekiya Morar,Female,31,Haldia,Maharashtra,2022-01-01
C00267,Patrick Iyengar,Female,22,Dewas,Telangana,2022-05-05
C00268,Chaman Kara,Female,51,Kulti,Telangana,2023-08-05
C00269,Pranav Toor,Female,35,Sagar,Rajasthan,2025-06-07
C00270,Aishani Bahri,Male,44,Bhiwani,Manipur,2025-05-15
C00271,Diya Mital,Female,68,Mahbubnagar,Haryana,2025-04-21
C00272,Dev Sarin,Male,48,Dehri,Tripura,2025-12-18
C00273,Bhavna Varty,Male,48,Jhansi,Mizoram,2023-12-10
C00274,Odika Wali,Male,35,Hajipur,Nagaland,2024-12-31
C00275,Prisha Batra,Female,45,Kadapa,Assam,2023-04-07
C00276,Banjeet Menon,Female,23,Khora ,Manipur,2024-04-03
C00277,Falan Roy,Male,35,Rajkot,Sikkim,2022-01-02
C00278,Shaurya Rajagopal,Female,57,Mira-Bhayandar,Maharashtra,2024-03-01
C00279,Bachittar Mutti,Female,62,Mahbubnagar,Nagaland,2025-11-20
C00280,Kala Tata,Female,57,Nellore,Chhattisgarh,2026-03-23
C00281,Ladli Merchant,Male,58,Thoothukudi,Telangana,2022-02-15
C00282,Arjun Borah,Male,51,Ratlam,Manipur,2023-07-17
C00283,Champak Sinha,Female,58,Farrukhabad,Telangana,2024-11-27
C00284,Indrajit Wadhwa,Female,31,Panchkula,Kerala,2022-12-26
C00285,Tanish Venkatesh,Female,33,Pune,Maharashtra,2023-09-25
C00286,Faris Ahluwalia,Female,30,Navi Mumbai,Karnataka,2024-04-03
C00287,Maanas Saini,Male,31,Amritsar,Haryana,2022-12-05
C00288,Dalaja Mander,Male,42,Bidar,Bihar,2022-12-15
C00289,Eesha Kata,Male,46,Shahjahanpur,Manipur,2022-12-04
C00290,Jack Madan,Female,29,Bhagalpur,Jharkhand,2022-09-28
C00291,Lavanya Sabharwal,Female,31,Guna,Uttarakhand,2024-09-29
C00292,Bhanumati Bhatti,Female,55,Dibrugarh,Uttar Pradesh,2022-09-21
C00293,Advika Gala,Male,58,Gudivada,Madhya Pradesh,2025-11-16
C00294,Anamika Rout,Female,70,Shimoga,Bihar,2024-10-21
C00295,Meghana Dayal,Male,49,Gwalior,Odisha,2025-09-14
C00296,Jasmit Shetty,Male,51,Mira-Bhayandar,Arunachal Pradesh,2025-12-18
C00297,Ekta Contractor,Male,59,Mau,Uttar Pradesh,2026-02-21
C00298,Adya Choudhary,Male,31,Saharanpur,Uttar Pradesh,2025-02-05
C00299,Neel Sachdeva,Male,52,Tumkur,Chhattisgarh,2026-03-10
C00300,Tanvi Majumdar,Male,18,Kottayam,Karnataka,2022-11-19
C00301,Faras Sandhu,Female,61,Hindupur,Tamil Nadu,2023-05-25
C00302,Azaan Vasa,Male,62,Korba,Telangana,2022-08-03
C00303,Oeshi Dhar,Female,41,Hapur,Madhya Pradesh,2022-10-16
C00304,Yagnesh Prakash,Female,47,Mango,Assam,2025-09-27
C00305,Aarini Sibal,Male,19,Kota,Bihar,2025-05-08
C00306,Sarthak Iyer,Female,21,Bidhannagar,Jharkhand,2022-04-17
C00307,Omkaar Gour,Male,45,Ranchi,Odisha,2022-06-12
C00308,Arin Vasa,Female,65,Bidar,Assam,2026-04-02
C00309,Bahadurjit Saraf,Female,61,Khora ,Maharashtra,2025-08-17
C00310,Sudiksha Anand,Female,62,Chandigarh,Haryana,2024-09-26
C00311,Pratyush Misra,Male,47,Guntur,Jharkhand,2022-06-10
C00312,Balhaar Verma,Female,21,Nellore,Goa,2022-09-01
C00313,Banjeet Rajagopal,Female,39,Bhind,Punjab,2025-07-14
C00314,Zehaan Varty,Male,49,Raiganj,Manipur,2025-12-21
C00315,Aadi Vohra,Female,49,Shimoga,Odisha,2022-11-23
C00316,Aryan Roy,Male,68,Bareilly,Sikkim,2021-08-04
C00317,Chaitanya Pai,Female,43,Bhopal,Jharkhand,2025-06-08
C00318,Dipta Kumar,Female,41,Varanasi,Arunachal Pradesh,2025-03-29
C00319,Tanvi Madan,Female,31,Bellary,Andhra Pradesh,2025-10-11
C00320,Meera Banik,Female,26,Jorhat,Bihar,2021-08-20
C00321,Riya Bava,Male,20,Ludhiana,Haryana,2023-11-26
C00322,Aishani Soman,Male,63,Jammu,Jharkhand,2022-10-26
C00323,Baghyawati D’Alia,Male,47,Visakhapatnam,Maharashtra,2025-01-17
C00324,Ria Jani,Male,24,Navi Mumbai,Uttarakhand,2023-05-17
C00325,Reyansh Mani,Female,38,Ramgarh,Chhattisgarh,2026-01-02
C00326,Pallavi Ramachandran,Male,51,Mangalore,Tamil Nadu,2025-11-02
C00327,Falguni Shah,Female,49,Hubli–Dharwad,Assam,2026-07-14
C00328,Amara Chana,Male,70,Nanded,Chhattisgarh,2022-10-31
C00329,Umang Chadha,Female,49,Nagpur,Punjab,2021-10-22
C00330,Dhriti Kanda,Male,31,Bally,Meghalaya,2021-08-03
C00331,Xavier Bains,Male,29,Patiala,Himachal Pradesh,2022-12-03
C00332,Aishani Bhatti,Female,60,Avadi,Goa,2023-08-15
C00333,Michael Master,Female,63,Siliguri,Nagaland,2024-02-05
C00334,Samar Ranganathan,Male,30,Shimoga,Haryana,2022-08-12
C00335,Yash Din,Female,64,Coimbatore,Himachal Pradesh,2024-11-10
C00336,Warinder Chandran,Male,37,Proddatur,Haryana,2024-06-25
C00337,Omisha Chokshi,Female,61,Tenali,Goa,2021-08-16
C00338,Fiyaz Bhatnagar,Male,20,Gangtok,Tamil Nadu,2026-03-24
C00339,Rehaan Lata,Female,49,Bhagalpur,Arunachal Pradesh,2023-01-18
C00340,Triveni Chaudhari,Female,40,Khammam,Odisha,2026-07-12
C00341,Owen Bala,Female,22,Gandhinagar,Arunachal Pradesh,2026-03-09
C00342,Vaishnavi Mitra,Female,48,Tadipatri,Chhattisgarh,2025-01-31
C00343,Girindra Chatterjee,Female,57,Howrah,Mizoram,2023-09-13
C00344,Mekhala Ben,Male,37,Bhatpara,Haryana,2025-10-08
C00345,Tanish Hari,Female,18,Mahbubnagar,Telangana,2025-03-07
C00346,Yatin Kalla,Male,41,Sangli-Miraj & Kupwad,Tamil Nadu,2024-02-13
C00347,Avi Seshadri,Female,26,Latur,Odisha,2025-07-19
C00348,Falak Gupta,Female,23,Ramgarh,Himachal Pradesh,2022-03-26
C00349,Jai Kapur,Male,36,Mira-Bhayandar,Odisha,2025-08-27
C00350,Bhavya Narasimhan,Male,29,Thoothukudi,Bihar,2025-05-20
C00351,Krishna Divan,Female,49,Tiruppur,Tripura,2022-05-15
C00352,Advaith Pradhan,Male,64,Raichur,Punjab,2023-10-27
C00353,Onkar Bassi,Male,20,Shimla,Rajasthan,2025-08-02
C00354,Chakradhar Tak,Female,19,Kolkata,Arunachal Pradesh,2022-04-21
C00355,Gavin Narayanan,Female,20,Bettiah,Gujarat,2023-05-18
C00356,Yoshita Gaba,Male,23,Srikakulam,Haryana,2023-05-24
C00357,Kamala Chakrabarti,Male,67,Haldia,Maharashtra,2024-10-30
C00358,Libni Virk,Female,43,Nagpur,Arunachal Pradesh,2024-03-16
C00359,Xavier Dixit,Male,24,Thanjavur,Jharkhand,2026-07-18
C00360,Raghav Raman,Female,43,Ludhiana,Himachal Pradesh,2022-01-02
C00361,Riya Manne,Female,49,Sultan Pur Majra,Rajasthan,2025-09-23
C00362,Udarsh Lala,Male,20,Giridih,Telangana,2025-10-27
C00363,Amara Bajaj,Male,29,Ramagundam,Assam,2022-12-01
C00364,Samarth Randhawa,Male,51,Mathura,Maharashtra,2024-05-12
C00365,Eshana Rana,Male,62,Agra,Jharkhand,2022-02-16
C00366,Bhavani Bir,Female,19,Tiruchirappalli,Kerala,2025-06-15
C00367,Mason Anand,Female,60,Darbhanga,Maharashtra,2022-07-15
